ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS,xac định đỉnh,Đường đi 1,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (2),Insert edge,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 2,Prim A,Câu hỏi 2,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 1,Câu hỏi 1,Chia kẹo khó - instance 1,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 2,Câu hỏi 1,Câu 1,Nhận diện topology,"Số lượng dãy tăng, giảm (4)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (2)",Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
26614,Nhóm 1 - kíp 3,16,41,39.02,Chưa làm,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,Chưa làm,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có
26615,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,Chưa làm,1,0,0,0,1,0,1,0,1,1,0,Chưa làm,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26616,Nhóm 1 - kíp 3,14,41,34.15,Chưa làm,Chưa làm,0,0,0,0,0,0,1,1,1,0,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,1,0,1,1,1,1,1,0,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
26617,Nhóm 1 - kíp 3,15,41,36.59,Chưa làm,Chưa làm,0,0,Chưa làm,0,1,0,1,1,1,0,1,Chưa làm,0,1,0,1,1,Chưa làm,Chưa làm,Chưa làm,0,1,0,0,0,1,0,1,0,0,1,Chưa làm,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có
26618,Nhóm 1 - kíp 3,14,41,34.15,1,0,0,0,0,0,1,0,1,0,Chưa làm,0,0,0,0,Chưa làm,0,0,1,0,0,0,1,1,Chưa làm,0,0,1,0,1,Chưa làm,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có
26619,Nhóm 1 - kíp 3,12,41,29.27,0,0,1,0,Chưa làm,1,0,Chưa làm,Chưa làm,0,0,0,0,1,1,1,Chưa làm,0,0,Chưa làm,0,1,1,0,Chưa làm,1,Chưa làm,Chưa làm,1,1,Chưa làm,Chưa làm,1,Chưa làm,0,1,0,Chưa làm,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26620,Nhóm 1 - kíp 3,20,41,48.78,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,Chưa làm,0,0,1,0,0,Chưa làm,1,0,1,0,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26621,Nhóm 1 - kíp 3,26,41,63.41,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,2,0,1,1,Chưa làm,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0
26622,Nhóm 1 - kíp 3,26,41,63.41,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có
26623,Nhóm 1 - kíp 3,13,41,31.71,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,0,1,0,0,Chưa làm,1,Chưa làm,1,0,0,0,0,1,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
26624,Nhóm 1 - kíp 3,26,41,63.41,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,2,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26625,Nhóm 1 - kíp 3,28,41,68.29,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,2,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
26626,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,Chưa làm,1,Chưa làm,0,0,1,Chưa làm,1,1,1,Chưa làm,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có
26627,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,Chưa làm,0,1,1,0,1,1,0,0,1,1,0,1,2,Chưa làm,1,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,1,Chưa làm,1,0,1,Chưa làm,1,1,0,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
26628,Nhóm 1 - kíp 3,21,41,51.22,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,2,0,0,1,0,Chưa làm,Chưa làm,0,0,1,Chưa làm,1,1,1,0,0,0,0,0,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
26629,Nhóm 1 - kíp 3,20,41,48.78,1,0,Chưa làm,1,0,0,1,1,Chưa làm,Chưa làm,1,1,0,1,0,0,0,Chưa làm,1,1,Chưa làm,0,Chưa làm,Chưa làm,0,1,0,1,1,1,1,1,0,1,0,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26630,Nhóm 1 - kíp 3,10,41,24.39,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Chưa làm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26631,Nhóm 1 - kíp 3,9,41,21.95,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Chưa làm,0,Chưa làm,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,0,0,1,Chưa làm,Chưa làm,1,1,0,0,1,Chưa làm,Chưa làm,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,0,Không có,Không có,Không có
26632,Nhóm 1 - kíp 3,22,41,53.66,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có
26633,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,0,Chưa làm,0,0,1,0,1,Chưa làm,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26634,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,Chưa làm,Chưa làm,0,Chưa làm,0,1,0,Chưa làm,Chưa làm,1,1,Chưa làm,Chưa làm,0,Chưa làm,1,1,Chưa làm,1,Chưa làm,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
26635,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,2,0,1,1,1,0,0,0,Chưa làm,1,0,1,1,1,Chưa làm,0,1,0,1,1,0,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26636,Nhóm 1 - kíp 3,22,41,53.66,0,1,0,1,0,0,1,1,1,0,Chưa làm,1,1,1,0,1,2,Chưa làm,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
26637,Nhóm 1 - kíp 3,16,41,39.02,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,Chưa làm,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có
26638,Nhóm 1 - kíp 3,26,41,63.41,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26639,Nhóm 1 - kíp 3,6,41,14.63,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Chưa làm,0,Chưa làm,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
26640,Nhóm 1 - kíp 3,26,41,63.41,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,2,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
26641,Nhóm 1 - kíp 3,25,41,60.98,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,2,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26642,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,Chưa làm,0,1,0,1,0,0,1,1,1,0,Chưa làm,0,0,1,0,Chưa làm,Chưa làm,Chưa làm,1,0,0,Chưa làm,1,0,1,0,Chưa làm,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26643,Nhóm 1 - kíp 3,17,41,41.46,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,Chưa làm,Chưa làm,0,Chưa làm,1,0,Chưa làm,0,0,0,1,Chưa làm,1,1,1,0,0,1,0,1,1,0,Chưa làm,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26644,Nhóm 1 - kíp 3,11,41,26.83,0,Chưa làm,0,0,Chưa làm,1,0,1,1,0,1,0,1,1,0,1,Chưa làm,Chưa làm,1,0,Chưa làm,0,Chưa làm,0,0,0,Chưa làm,0,0,0,0,0,1,1,0,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26645,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,2,Chưa làm,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có
26646,Nhóm 1 - kíp 3,14,41,34.15,Chưa làm,Chưa làm,0,0,Chưa làm,0,1,0,1,0,Chưa làm,1,1,0,1,Chưa làm,0,0,1,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,0,0,0,1,0,0,0,1,1,1,1,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có
26647,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,1,0,0,0,Chưa làm,1,1,0,Chưa làm,0,1,1,1,Chưa làm,Chưa làm,1,0,0,0,0,0,0,1,Chưa làm,1,1,1,0,1,1,1,1,1,Chưa làm,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26648,Nhóm 1 - kíp 3,26,41,63.41,Chưa làm,Chưa làm,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,Chưa làm,1,0,Chưa làm,0,1,0,1,1,1,1,1,1,1,1,1,Chưa làm,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0
26649,Nhóm 1 - kíp 3,16,41,39.02,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,2,Chưa làm,Chưa làm,1,Chưa làm,Chưa làm,1,0,Chưa làm,1,0,0,1,1,0,0,1,0,0,1,0,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
26650,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,1,0,0,1,0,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26651,Nhóm 1 - kíp 3,16,41,39.02,Chưa làm,0,0,0,Chưa làm,0,Chưa làm,0,1,0,1,Chưa làm,1,Chưa làm,0,1,2,0,1,1,Chưa làm,0,Chưa làm,0,Chưa làm,1,0,1,1,1,1,0,1,0,Chưa làm,1,0,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26652,Nhóm 1 - kíp 3,20,41,48.78,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,2,1,1,1,1,0,1,0,Chưa làm,0,Chưa làm,1,0,1,0,1,1,Chưa làm,Chưa làm,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có
26653,Nhóm 1 - kíp 3,20,41,48.78,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26654,Nhóm 1 - kíp 3,18,41,43.9,0,Chưa làm,0,1,Chưa làm,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,Chưa làm,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
26655,Nhóm 1 - kíp 3,14,41,34.15,Chưa làm,0,0,0,0,0,1,0,1,1,Chưa làm,0,0,0,0,1,0,0,Chưa làm,1,0,Chưa làm,1,1,Chưa làm,0,0,1,0,Chưa làm,Chưa làm,Chưa làm,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26656,Nhóm 1 - kíp 3,20,41,48.78,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có
26657,Nhóm 1 - kíp 3,22,41,53.66,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,Chưa làm,Chưa làm,0,1,0,1,1,0,0,1,Chưa làm,1,1,1,0,1,1,1,Chưa làm,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
26658,Nhóm 1 - kíp 3,12,41,29.27,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,Chưa làm,0,0,0,0,Chưa làm,0,Chưa làm,0,Chưa làm,0,Chưa làm,1,0,1,0,1,1,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
26659,Nhóm 1 - kíp 3,22,41,53.66,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,2,1,Chưa làm,1,1,Chưa làm,1,0,Chưa làm,1,0,1,1,1,0,0,1,1,0,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
26660,Nhóm 1 - kíp 3,27,41,65.85,0,0,1,0,Chưa làm,Chưa làm,0,1,1,1,0,1,1,1,1,1,2,0,1,1,Chưa làm,1,1,0,Chưa làm,1,0,1,1,1,1,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có
26661,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có
26662,Nhóm 1 - kíp 3,13,41,31.71,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26663,Nhóm 1 - kíp 3,18,41,43.9,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,Chưa làm,0,1,0,1,1,1,0,0,1,Chưa làm,1,1,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có
26664,Nhóm 1 - kíp 3,20,41,48.78,0,0,Chưa làm,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,Chưa làm,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có
26665,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,Chưa làm,Chưa làm,Chưa làm,0,0,0,1,1,0,1,0,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26666,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,1,1,0,0,1,1,Chưa làm,1,0,1,0,1,1,0,Chưa làm,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1
26667,Nhóm 1 - kíp 3,18,41,43.9,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Chưa làm,0,1,Chưa làm,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26668,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,1,1,1,1,1,0,1,0,0,Chưa làm,1,1,0,1,0,1,Chưa làm,1,Chưa làm,1,1,1,Chưa làm,1,1,Chưa làm,1,1,0,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
26669,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,0,1,0,1,0,Chưa làm,1,1,0,0,1,Chưa làm,Chưa làm,1,1,Chưa làm,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có
26670,Nhóm 1 - kíp 3,22,41,53.66,0,1,0,0,0,1,1,1,1,Chưa làm,Chưa làm,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,1,0,Chưa làm,0,Chưa làm,1,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
26671,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,Chưa làm,0,Chưa làm,0,0,1,0,1,1,1,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,Không có
26672,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26673,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,Chưa làm,0,Chưa làm,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0
26674,Nhóm 1 - kíp 3,17,41,41.46,0,0,1,1,0,1,1,0,1,Chưa làm,Chưa làm,0,0,0,1,Chưa làm,0,Chưa làm,1,1,0,Chưa làm,Chưa làm,1,0,1,0,1,1,1,0,1,0,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
26675,Nhóm 1 - kíp 3,25,41,60.98,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,Chưa làm,2,0,1,1,0,0,1,1,0,1,Chưa làm,1,1,1,1,1,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
